"Name"|"Symbol"|"Type"|"Locus"|"OMIM"
"major histocompatibility complex, class II, DR beta 1"|"HLA-DRB1"|"gene with protein product"|"6p21.32"|142857
"major histocompatibility complex, class II, DQ beta 1"|"HLA-DQB1"|"gene with protein product"|"6p21.32"|604305
"programmed cell death 1"|"PDCD1"|"gene with protein product"|"2q37.3"|600244
"ankyrin repeat domain 55"|"ANKRD55"|"gene with protein product"|"5q11.2"|615189
"CD24 molecule"|"CD24"|"gene with protein product"|"6q21"|600074
"ATM serine/threonine kinase"|"ATM"|"gene with protein product"|"11q22.3"|607585
"huntingtin"|"HTT"|"gene with protein product"|"4p16.3"|613004
"solute carrier family 2 member 3"|"SLC2A3"|"gene with protein product"|"12p13.31"|138170
"EPM2A glucan phosphatase, laforin"|"EPM2A"|"gene with protein product"|"6q24.3"|607566
"NHL repeat containing E3 ubiquitin protein ligase 1"|"NHLRC1"|"gene with protein product"|"6p22.3"|608072
"T-box transcription factor 1"|"TBX1"|"gene with protein product"|"22q11.21"|602054
"ARVCF delta catenin family member"|"ARVCF"|"gene with protein product"|"22q11.21"|602269
"glycoprotein Ib platelet subunit beta"|"GP1BB"|"gene with protein product"|"22q11.21"|138720
"ubiquitin recognition factor in ER associated degradation 1"|"UFD1"|"gene with protein product"|"22q11.21"|601754
"histone cell cycle regulator"|"HIRA"|"gene with protein product"|"22q11.21"|600237
"catechol-O-methyltransferase"|"COMT"|"gene with protein product"|"22q11.21"|116790
"jumonji domain containing 1C"|"JMJD1C"|"gene with protein product"|"10q21.3"|604503
"ras responsive element binding protein 1"|"RREB1"|"gene with protein product"|"6p24.3"|602209
"SEC24 homolog C, COPII coat complex component"|"SEC24C"|"gene with protein product"|"10q22.2"|607185
"hemoglobin subunit beta"|"HBB"|"gene with protein product"|"11p15.4"|141900
"PX domain containing serine/threonine kinase like"|"PXK"|"gene with protein product"|"3p14.3"|611450
"immunoglobulin heavy constant gamma 1 (G1m marker)"|"IGHG1"|"gene with protein product"|"14q32.33"|147100
"cytotoxic T-lymphocyte associated protein 4"|"CTLA4"|"gene with protein product"|"2q33.2"|123890
"three prime repair exonuclease 1"|"TREX1"|"gene with protein product"|"3p21.31"|606609
"interleukin 10"|"IL10"|"gene with protein product"|"1q32.1"|124092
"Fc fragment of IgG receptor IIIb"|"FCGR3B"|"gene with protein product"|"1q23.3"|610665
"complement C4A (Rodgers blood group)"|"C4A"|"gene with protein product"|"6p21.33"|120810
"complement C4B (Chido blood group)"|"C4B"|"gene with protein product"|"6p21.33"|120820
"complement C3d receptor 2"|"CR2"|"gene with protein product"|"1q32.2"|120650
"BLK proto-oncogene, Src family tyrosine kinase"|"BLK"|"gene with protein product"|"8p23.1"|191305
"protein tyrosine phosphatase non-receptor type 22"|"PTPN22"|"gene with protein product"|"1p13.2"|600716
"signal transducer and activator of transcription 4"|"STAT4"|"gene with protein product"|"2q32.2-q32.3"|600558
"Fc fragment of IgG receptor IIb"|"FCGR2B"|"gene with protein product"|"1q23.3"|604590
"deoxyribonuclease 1"|"DNASE1"|"gene with protein product"|"16p13.3"|125505
"B cell scaffold protein with ankyrin repeats 1"|"BANK1"|"gene with protein product"|"4q24"|610292
"integrin subunit alpha M"|"ITGAM"|"gene with protein product"|"16p11.2"|120980
"KIAA0319 like"|"KIAA0319L"|"gene with protein product"|"1p34.3"|613535
"JAZF zinc finger 1"|"JAZF1"|"gene with protein product"|"7p15.2-p15.1"|606246
"TNFAIP3 interacting protein 1"|"TNIP1"|"gene with protein product"|"5q33.1"|607714
"TNF alpha induced protein 3"|"TNFAIP3"|"gene with protein product"|"6q23.3"|191163
"ubiquitin conjugating enzyme E2 L3"|"UBE2L3"|"gene with protein product"|"22q11.21"|603721
"TNF superfamily member 4"|"TNFSF4"|"gene with protein product"|"1q25.1"|603594
"secreted phosphoprotein 1"|"SPP1"|"gene with protein product"|"4q22.1"|166490
"interleukin 1 receptor associated kinase 1"|"IRAK1"|"gene with protein product"|"Xq28"|300283
"ETS proto-oncogene 1, transcription factor"|"ETS1"|"gene with protein product"|"11q24.3"|164720
"collagen type IX alpha 1 chain"|"COL9A1"|"gene with protein product"|"6q13"|120210
"collagen type IX alpha 2 chain"|"COL9A2"|"gene with protein product"|"1p34.2"|120260
"collagen type IX alpha 3 chain"|"COL9A3"|"gene with protein product"|"20q13.33"|120270
"OCRL inositol polyphosphate-5-phosphatase"|"OCRL"|"gene with protein product"|"Xq26.1"|300535
"solute carrier family 16 member 1"|"SLC16A1"|"gene with protein product"|"1p13.2"|600682
"cyclin dependent kinase inhibitor 1B"|"CDKN1B"|"gene with protein product"|"12p13.1"|600778
"cyclin dependent kinase inhibitor 1A"|"CDKN1A"|"gene with protein product"|"6p21.2"|116899
"cyclin dependent kinase inhibitor 2B"|"CDKN2B"|"gene with protein product"|"9p21.3"|600431
"cyclin dependent kinase inhibitor 2C"|"CDKN2C"|"gene with protein product"|"1p32.3"|603369
"menin 1"|"MEN1"|"gene with protein product"|"11q13"|613733
"fragile X messenger ribonucleoprotein 1"|"FMR1"|"gene with protein product"|"Xq27.3"|309550
"Bruton tyrosine kinase"|"BTK"|"gene with protein product"|"Xq22.1"|300300
"ATPase copper transporting beta"|"ATP7B"|"gene with protein product"|"13q14.3"|606882
"retinoschisin 1"|"RS1"|"gene with protein product"|"Xp22.13"|300839
"cyclic nucleotide gated channel subunit beta 3"|"CNGB3"|"gene with protein product"|"8q21.3"|605080
"peripherin 2"|"PRPH2"|"gene with protein product"|"6p21.1"|179605
"ATP binding cassette subfamily A member 4"|"ABCA4"|"gene with protein product"|"1p22.1"|601691
"ELOVL fatty acid elongase 4"|"ELOVL4"|"gene with protein product"|"6q14.1"|605512
"prominin 1"|"PROM1"|"gene with protein product"|"4p15.32"|604365
"WASP actin nucleation promoting factor"|"WAS"|"gene with protein product"|"Xp11.23"|300392
"WAS/WASL interacting protein family member 1"|"WIPF1"|"gene with protein product"|"2q31.1"|602357
"transducin beta like 2"|"TBL2"|"gene with protein product"|"7q11.23"|605842
"GTF2I repeat domain containing 2"|"GTF2IRD2"|"gene with protein product"|"7q11.23"|608899
"VPS37D subunit of ESCRT-I"|"VPS37D"|"gene with protein product"|"7q11.23"|610039
"FKBP prolyl isomerase family member 6 (inactive)"|"FKBP6"|"gene with protein product"|"7q11.23"|604839
"replication factor C subunit 2"|"RFC2"|"gene with protein product"|"7q11.23"|600404
"neutrophil cytosolic factor 1"|"NCF1"|"gene with protein product"|"7q11.23"|608512
"transmembrane protein 270"|"TMEM270"|"gene with protein product"|"7q11.23"|612547
"MLX interacting protein like"|"MLXIPL"|"gene with protein product"|"7q11.23"|605678
"eukaryotic translation initiation factor 4H"|"EIF4H"|"gene with protein product"|"7q11.23"|603431
"DnaJ heat shock protein family (Hsp40) member C30"|"DNAJC30"|"gene with protein product"|"7q11.23"|618202
"BAF chromatin remodeling complex subunit BCL7B"|"BCL7B"|"gene with protein product"|"7q11.23"|605846
"methyltransferase like 27"|"METTL27"|"gene with protein product"|"7q11.23"|612546
"BUD23 rRNA methyltransferase and ribosome maturation factor"|"BUD23"|"gene with protein product"|"7q11.23"|615733
"bromodomain adjacent to zinc finger domain 1B"|"BAZ1B"|"gene with protein product"|"7q11.23"|605681
"CAP-Gly domain containing linker protein 2"|"CLIP2"|"gene with protein product"|"7q11.23"|603432
"elastin"|"ELN"|"gene with protein product"|"7q11.23"|130160
"general transcription factor IIi"|"GTF2I"|"gene with protein product"|"7q11.23"|601679
"GTF2I repeat domain containing 1"|"GTF2IRD1"|"gene with protein product"|"7q11.23"|604318
"LIM domain kinase 1"|"LIMK1"|"gene with protein product"|"7q11.23"|601329
"phosphatidylinositol glycan anchor biosynthesis class G"|"PIGG"|"gene with protein product"|"4p16.3"|616918
"complexin 1"|"CPLX1"|"gene with protein product"|"4p16.3"|605032
"C-terminal binding protein 1"|"CTBP1"|"gene with protein product"|"4p16.3"|602618
"nuclear receptor binding SET domain protein 2"|"NSD2"|"gene with protein product"|"4p16.3"|602952
"negative elongation factor complex member A"|"NELFA"|"gene with protein product"|"4p16.3"|606026
"leucine zipper and EF-hand containing transmembrane protein 1"|"LETM1"|"gene with protein product"|"4p16.3"|604407
"fibroblast growth factor receptor 3"|"FGFR3"|"gene with protein product"|"4p16.3"|134934
"alpha tocopherol transfer protein"|"TTPA"|"gene with protein product"|"8q12.3"|600415
"atrophin 1"|"ATN1"|"gene with protein product"|"12p13.31"|607462
"microRNA 140"|"MIR140"|"Non-coding RNA"|"16q22.1"|611894
"interleukin 2 receptor subunit gamma"|"IL2RG"|"gene with protein product"|"Xq13.1"|308380
"androgen receptor"|"AR"|"gene with protein product"|"Xq12"|313700
"ornithine transcarbamylase"|"OTC"|"gene with protein product"|"Xp11.4"|300461
"cystathionine beta-synthase"|"CBS"|"gene with protein product"|"21q22.3"|613381
"insulin receptor"|"INSR"|"gene with protein product"|"19p13.2"|147670
"hemoglobin subunit alpha 2"|"HBA2"|"gene with protein product"|"16p13.3"|141850
"hemoglobin subunit alpha 1"|"HBA1"|"gene with protein product"|"16p13.3"|141800
"NADH:ubiquinone oxidoreductase core subunit S2"|"NDUFS2"|"gene with protein product"|"1q23.3"|602985
"mitochondrially encoded ATP synthase membrane subunit 6"|"MT-ATP6"|"gene with protein product"|"mitochondria"|516060
"mitochondrially encoded cytochrome b"|"MT-CYB"|"gene with protein product"|"mitochondria"|516020
"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2"|"MT-ND2"|"gene with protein product"|"mitochondria"|516001
"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L"|"MT-ND4L"|"gene with protein product"|"mitochondria"|516004
"L1 cell adhesion molecule"|"L1CAM"|"gene with protein product"|"Xq28"|308840
"isocitrate dehydrogenase (NADP(+)) 2"|"IDH2"|"gene with protein product"|"15q26.1"|147650
"isocitrate dehydrogenase (NADP(+)) 1"|"IDH1"|"gene with protein product"|"2q34"|147700
"norrin cystine knot growth factor NDP"|"NDP"|"gene with protein product"|"Xp11.3"|300658
"TBC1 domain family member 24"|"TBC1D24"|"gene with protein product"|"16p13.3"|613577
"sushi repeat containing protein X-linked 2"|"SRPX2"|"gene with protein product"|"Xq22.1"|300642
"glutamate ionotropic receptor NMDA type subunit 2A"|"GRIN2A"|"gene with protein product"|"16p13.2"|138253
"sterol carrier protein 2"|"SCP2"|"gene with protein product"|"1p32.3"|184755
"contactin associated protein 2"|"CNTNAP2"|"gene with protein product"|"7q35-q36.1"|604569
"cytochrome b-245 beta chain"|"CYBB"|"gene with protein product"|"Xp21.1-p11.4"|300481
"neutrophil cytosolic factor 2"|"NCF2"|"gene with protein product"|"1q25.3"|608515
"cytochrome b-245 alpha chain"|"CYBA"|"gene with protein product"|"16q24.2"|608508
"cytochrome b-245 chaperone 1"|"CYBC1"|"gene with protein product"|"17q25.3"|618334
"opsin 1, medium wave sensitive"|"OPN1MW"|"gene with protein product"|"Xq28"|300821
"opsin 1, long wave sensitive"|"OPN1LW"|"gene with protein product"|"Xq28"|300822
"transcription factor binding to IGHM enhancer 3"|"TFE3"|"gene with protein product"|"Xp11.23"|314310
"ASPSCR1 tether for SLC2A4, UBX domain containing"|"ASPSCR1"|"gene with protein product"|"17q25.3"|606236
"NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor"|"NF2"|"gene with protein product"|"22q12.2"|607379
"scavenger receptor class B member 2"|"SCARB2"|"gene with protein product"|"4q21.1"|602257
"ectodysplasin A"|"EDA"|"gene with protein product"|"Xq13.1"|300451
"ectodysplasin A2 receptor"|"EDA2R"|"gene with protein product"|"Xq12"|300276
"solute carrier family 3 member 1"|"SLC3A1"|"gene with protein product"|"2p21"|104614
"prolyl endopeptidase like"|"PREPL"|"gene with protein product"|"2p21"|609557
"calmodulin-lysine N-methyltransferase"|"CAMKMT"|"gene with protein product"|"2p21"|609559
"protein phosphatase, Mg2+/Mn2+ dependent 1B"|"PPM1B"|"gene with protein product"|"2p21"|603770
"activin A receptor type 1"|"ACVR1"|"gene with protein product"|"2q24.1"|102576
"patched 1"|"PTCH1"|"gene with protein product"|"9q22.32"|601309
"SUFU negative regulator of hedgehog signaling"|"SUFU"|"gene with protein product"|"10q24.32"|607035
"patched 2"|"PTCH2"|"gene with protein product"|"1p34.1"|603673
"RAS related"|"RRAS"|"gene with protein product"|"19q13.33"|165090
"muscle RAS oncogene homolog"|"MRAS"|"gene with protein product"|"3q22.3"|608435
"sprouty related EVH1 domain containing 2"|"SPRED2"|"gene with protein product"|"2p14"|609292
"RAS related 2"|"RRAS2"|"gene with protein product"|"11p15.2"|600098
"protein tyrosine phosphatase non-receptor type 11"|"PTPN11"|"gene with protein product"|"12q24.13"|176876
"Cbl proto-oncogene"|"CBL"|"gene with protein product"|"11q23.3"|165360
"SOS Ras/Rac guanine nucleotide exchange factor 1"|"SOS1"|"gene with protein product"|"2p22.1"|182530
"KRAS proto-oncogene, GTPase"|"KRAS"|"gene with protein product"|"12p12.1"|190070
"Raf-1 proto-oncogene, serine/threonine kinase"|"RAF1"|"gene with protein product"|"3p25.2"|164760
"NRAS proto-oncogene, GTPase"|"NRAS"|"gene with protein product"|"1p13.2"|164790
"Ras like without CAAX 1"|"RIT1"|"gene with protein product"|"1q22"|609591
"leucine zipper like transcription regulator 1"|"LZTR1"|"gene with protein product"|"22q11.21"|600574
"RAS p21 protein activator 2"|"RASA2"|"gene with protein product"|"3q23"|601589
